Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
732.966,1093.44,123.494,176.724
731.663,1080.51,124.976,174.565
737.83,1086,124.136,176.822
734.477,1083.94,124.487,175.727
734.514,1087.14,124.134,176.194
740.333,1079.12,124.78,176.427
743.03,1097.26,122.746,179.701
742.232,1084.27,124.156,177.624
738.38,1083.71,124.363,176.624
737.365,1084.37,124.33,176.478
742.662,1086.92,123.857,178.112
738.19,1099.91,122.614,178.915
738.738,1100.17,122.569,179.085
746.551,1118.57,120.4,183.664
746.971,1116.61,120.595,183.482
746.813,1126.57,119.556,184.9
748.07,1124.74,119.722,184.943
754.776,1132.19,118.833,187.705
742.21,1139.65,118.248,185.661
754.595,1131.74,118.882,187.593
755.605,1139.33,118.098,188.97
758.46,1161.09,115.889,192.928
753.314,1165.27,115.484,192.234
745.878,1179.97,115,191.024
750.889,1203.48,115,192.312
750.061,1233.94,115,192.099
750.061,1255.22,115,192.099
747.52,1302.27,115,191.446
750.196,1347.01,115,192.134
737.436,1348.45,115,188.855
749.975,1387.11,115,192.077
733.51,1444.72,115,187.846
734.519,1494.29,115,188.106
732.455,1559.84,115,187.575
732.455,1584.97,115,187.575
742.777,1547.96,115,190.227
739.814,1658.09,115,189.466
735.095,1720.91,115,188.254
731.513,1717.43,115,187.333
737.9,1763.46,115,188.974
735.106,4011.91,115,188.256
728.661,3995.94,115,186.6
735.9,3977.76,115,188.46
736.014,3869.55,115,188.49
735.732,3724,115,188.417
732.207,3698.82,115,187.511
726.198,3679.1,115,185.967
727.01,3671.5,115,186.176
724.238,3652.72,115,185.464
725.335,3634.05,115,185.746
718.582,3622,115,184.011
720.052,3603.01,115,184.388
726.626,3587.5,115,186.077
717.182,3569.46,115,183.651
717.046,3467.5,115,183.616
718.172,3337.45,115,183.905
716.916,3313.27,115,183.583
710.292,3280.55,115,181.881
710.748,3280.44,115,181.998
708.413,3266.45,115,181.398
698.062,3243.8,115,178.738
698.062,1582.15,115,178.738
699.158,1583.65,115,179.02
695.234,1513.69,115,178.011
688.793,1435.45,115,176.357
